"YearMonth","Total","Sexist","Not_Sexist","Percentage_Sexist"
2017-11-01,10769,1577,9192,14.643885226112
2017-12-01,15539,2047,13492,13.173305875539
2018-01-01,17657,2158,15499,12.2217817296256
2018-02-01,17932,2104,15828,11.7332143653803
2018-03-01,20520,2387,18133,11.6325536062378
2018-04-01,16916,2337,14579,13.8153227713407
2018-05-01,22366,3409,18957,15.241885004024
2018-06-01,22175,3449,18726,15.5535512965051
2018-07-01,18196,2826,15370,15.530885908991
2018-08-01,16293,2623,13670,16.0989381943166
2018-09-01,17690,2735,14955,15.4607122668174
2018-10-01,17835,2574,15261,14.4322960470984
2018-11-01,15357,2462,12895,16.0317770397864
2018-12-01,15171,2424,12747,15.9778524817085
2019-01-01,17471,2728,14743,15.6144467975502
2019-02-01,13606,2257,11349,16.5882698809349
2019-03-01,15750,2546,13204,16.1650793650794
2019-04-01,12479,2068,10411,16.5718406923632
2019-05-01,11497,2163,9334,18.8136035487518
2019-06-01,11366,1876,9490,16.5053668836882
2019-07-01,14774,2370,12404,16.0416948693651
2019-08-01,13881,2319,11562,16.7062891722498
2019-09-01,11874,2055,9819,17.3067205659424
2019-10-01,14297,2577,11720,18.024760439253
2019-11-01,15185,2577,12608,16.9706947645703
2019-12-01,16318,2700,13618,16.5461453609511
2020-01-01,16309,2695,13614,16.5246183089092
2020-02-01,16911,2632,14279,15.5638341907634
2020-03-01,17465,2480,14985,14.1998282278843
2020-04-01,20527,3154,17373,15.3651288546792
2020-05-01,16780,2671,14109,15.9177592371871
2020-06-01,14328,2199,12129,15.3475711892797
2020-07-01,18384,2895,15489,15.7473890339426
2020-08-01,17360,2761,14599,15.9043778801843
2020-09-01,17217,2602,14615,15.1129697392112
2020-10-01,14375,2257,12118,15.7008695652174
2020-11-01,10591,1734,8857,16.3723916532905
2020-12-01,9874,1750,8124,17.7233137532915
2021-01-01,9193,1482,7711,16.1209616012183
2021-02-01,8770,1493,7277,17.023945267959
2021-03-01,9915,1724,8191,17.3877962682804
2021-04-01,9658,1562,8096,16.1731207289294
2021-05-01,9420,1608,7812,17.0700636942675
2021-06-01,9789,1619,8170,16.5389723158647
2021-07-01,11183,1811,9372,16.1942233747653
2021-08-01,11353,1930,9423,16.9999119175548
2021-09-01,11495,1879,9616,16.3462374945629
2021-10-01,11720,1801,9919,15.3668941979522
2021-11-01,12176,1838,10338,15.0952693823916
2021-12-01,13321,2024,11297,15.1940545004129
2022-01-01,11474,1734,9740,15.1124280983092
2022-02-01,9936,1599,8337,16.0929951690821
2022-03-01,11506,1699,9807,14.766208934469
2022-04-01,12530,1921,10609,15.3312051077414
2022-05-01,14198,2144,12054,15.1007184110438
2022-06-01,14140,2151,11989,15.2121640735502
2022-07-01,14371,2121,12250,14.7588894301023
2022-08-01,15551,2098,13453,13.4910938203331
2022-09-01,15731,2139,13592,13.5973555400165
2022-10-01,15478,2016,13462,13.0249386225611
2022-11-01,12401,1796,10605,14.482703007822
2022-12-01,16641,2561,14080,15.3897001382128
2023-01-01,16869,2455,14414,14.5533226628727
2023-02-01,16746,2378,14368,14.2004060671205
2023-03-01,21368,3026,18342,14.1613627854736
2023-04-01,34712,5273,29439,15.1907121456557
2023-05-01,34367,5239,29128,15.24427503128
2023-06-01,34491,5240,29251,15.1923690238033
2023-07-01,38120,5569,32551,14.609129066107
2023-08-01,28593,4110,24483,14.3741475186234
2023-09-01,26574,4050,22524,15.240460600587
2023-10-01,7707,1064,6643,13.8056312443233
